Scopus ID	Label	Title	over threshold for co-citations	over threshold for bib. coupling
2-s2.0-85152313344	MatinfarSalehi2023	Sonification as a reliable alternative to conventional visual surgical navigation	True	True
2-s2.0-85028987855	RoodakiNavab2017	SonifEye: Sonification of Visual Information Using Physical Modeling Sound Synthesis	True	False
2-s2.0-85141175249	SharifWang2022	What Makes Sonification User-Friendly Exploring Usability and User-Friendliness of Sonified Responses	True	False
2-s2.0-85135945331	WangJung2022	Seeing Through Sounds: Mapping Auditory Dimensions to Data and Charts for People with Visual Impairments	True	True
2-s2.0-85130566986	SiuShkim2022	Supporting Accessible Data Visualization Through Audio Data Narratives	True	True
2-s2.0-85130547092	HollowayGoncu2022	Infosonics: Accessible Infographics for People who are Blind using Sonification and Voice	True	False
2-s2.0-85130559393	FanSiu2022	Slide-Tone and Tilt-Tone: 1-DOF Haptic Techniques for Conveying Shape Characteristics of Graphs to Blind Users	True	True
2-s2.0-85118628104	ChunduryPatnaik2022	Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study	True	True
2-s2.0-43949128428	ZhaoPlaisant2008	Data sonification for users with visual impairment: A case study with georeferenced data	True	False
2-s2.0-85135228668	ZhangSigafoos2022	SonifyIt: Towards Transformative Sound for All Robots	True	False
2-s2.0-85106399168	FridBresin2022	Perceptual Evaluation of Blended Sonification of Mechanical Robot Sounds Produced by Emotionally Expressive Gestures: Augmenting Consequential Sounds to Improve Non-verbal Robot Communication	True	True
2-s2.0-85123366435	KantanSpaich2022	A Technical Framework for Musical Biofeedback in Stroke Rehabilitation	True	True
2-s2.0-85078835671	GuerraSmith2020	The use of sonification for physiotherapy in human movement tasks: A scoping review Sonification du mouvement en kinésithérapie: une revue exploratoire de la littérature	True	True
2-s2.0-85107976976	KoKutchek2022	Effects of Non-Speech Auditory Cues on Control Transition Behaviors in Semi-Automated Vehicles: Empirical Study, Modeling, and Validation	True	True
2-s2.0-85015358574	PetermeijerBazilinskyy2017	Take-over again: Investigating multimodal and directional TORs to get the driver back into the loop	True	True
2-s2.0-85102780630	RobinsonVelonaki2021	Smooth operator: Tuning robot perception through artificial movement sound	True	True
2-s2.0-85095746398	ZahraySavery2020	Robot Gesture Sonification to Enhance Awareness of Robot Status and Enjoyment of Interaction	True	False
2-s2.0-85067622801	FridBresin2018	Perception of mechanical sounds inherent to expressive gestures of a NAO robot - Implications for movement sonification of humanoids	True	True
2-s2.0-85159298730	TuckerbrownHarrison2022	Evaluating the efficacy of sonification for signal detection in univariate, evenly sampled light curves using astronify	True	False
2-s2.0-85134024351	ZanellaHarrison2022	Sonification and sound design for astronomy research, education and public engagement	True	False
2-s2.0-85141660632	MisdariisÖzcan2022	Sound experts’ perspectives on astronomy sonification projects	True	False
2-s2.0-85107772096	SaweChafe2020	Using Data Sonification to Overcome Science Literacy, Numeracy, and Visualization Barriers in Science Communication	True	False
2-s2.0-85111964963	MilazzoBuehler2021	Designing and fabricating materials from fire using sonification and deep learning	True	False
2-s2.0-85068460153	YuQin2019	A Self-Consistent Sonification Method to Translate Amino Acid Sequences into Musical Compositions and Application in Protein Design Using Artificial Intelligence	True	True
2-s2.0-85107464809	FranjouMilazzo2021	A perspective on musical representations of folded protein nanostructures	True	True
2-s2.0-85103744152	RaglioPanigazzi2021	Hand rehabilitation with sonification techniques in the subacute stage of stroke	True	True
2-s2.0-84977657335	ScholzRohde2016	Sonification of arm movements in stroke rehabilitation - a novel approach in neurologic music therapy	True	True
2-s2.0-85092199459	VanrhedenGrah2020	Sonification approaches in sports in the past decade: A literature review	True	True
2-s2.0-85061377945	SchaffertJanzen2019	A review on the relationship between sound and movement in sports and rehabilitation	True	True
2-s2.0-85090254386	YuBuehler2020	Sonification based de novo protein design using artificial intelligence, structure prediction, and analysis using molecular modeling	True	True
2-s2.0-85090259984	Buehler2020	Liquified protein vibrations, classification and cross-paradigm de novo image generation using deep neural networks	True	False
2-s2.0-85075709898	FranjouMilazzo2019	Sounds interesting: can sonification help us design new proteins?	True	False
2-s2.0-85064463641	QinBuehler2019	Analysis of the vibrational and sound spectrum of over 100,000 protein structures and application in sonification	True	False
2-s2.0-85089468020	LenziCiuccarelli2020	Intentionality and design in the data sonification of social issues	True	False
2-s2.0-85091302319	AhmetovicSato2020	ReCog: Supporting Blind People in Recognizing Personal Objects	True	False
2-s2.0-85074950996	LeeHong2019	Revisiting blind photography in the context of teachable object recognizers	True	False
2-s2.0-84893070216	DubusBresin2013	A systematic review of mapping strategies for the sonification of physical quantities	True	True
2-s2.0-85079349505	ZhangGe2020	Modeling of Individual HRTFs Based on Spatial Principal Component Analysis	True	True
2-s2.0-84962916557	GrijalvaMartini2016	A manifold learning approach for personalizing HRTFS from anthropometric features	True	True
2-s2.0-0027170085	WenzelArruda1993	Localization using nonindividualized head-related transfer functions	True	True
2-s2.0-85083115066	NewboldGold2020	Movement sonification expectancy model: leveraging musical expectancy theory to create movement-altering sonifications	True	False
2-s2.0-85015054154	NewboldBianchiberthouze2016	Musically informed sonification for chronic pain rehabilitation: Facilitating progress & avoiding over-doing	True	False
2-s2.0-85091586097	MezzarobbaGrassi2020	Action observation improves sit-to-walk in patients with Parkinson's disease and freezing of gait. Biomechanical analysis of performance	True	False
2-s2.0-85040451616	MezzarobbaGrassi2018	Action observation plus sonification. A novel therapeutic protocol for Parkinson's patient with freezing of gait	True	False
2-s2.0-84973514484	EffenbergFehse2016	Movement sonification: Effects on motor learning beyond rhythmic adjustments	True	True
2-s2.0-20344384538	Effenberg2005	Movement sonification: Effects on perception and action	True	False
2-s2.0-85077797740	LeyfloresBevilacqua2019	Altering body perception and emotion in physically inactive people through movement sonification	True	True
2-s2.0-85067599304	TajadurajiménezNewbold2019	As light as you aspire to be: Changing body perception with sound to support physical activity	True	True
2-s2.0-85044860190	SinghBianchiberthouze2017	Supporting everyday function in chronic pain using wearable technology	True	True
2-s2.0-84988378007	BevilacquaBoyer2016	Sensori-motor learning with movement sonification: Perspectives from recent interdisciplinary studies	True	True
