Source,Target,Type,weight
2-s2.0-85152313344,2-s2.0-85028987855,undirected,6
2-s2.0-85141175249,2-s2.0-85135945331,undirected,6
2-s2.0-85141175249,2-s2.0-85130566986,undirected,12
2-s2.0-85141175249,2-s2.0-85130547092,undirected,10
2-s2.0-85141175249,2-s2.0-85130559393,undirected,6
2-s2.0-85141175249,2-s2.0-85118628104,undirected,6
2-s2.0-85141175249,2-s2.0-43949128428,undirected,6
2-s2.0-85135945331,2-s2.0-85130566986,undirected,7
2-s2.0-85135945331,2-s2.0-85118628104,undirected,6
2-s2.0-85135945331,2-s2.0-43949128428,undirected,6
2-s2.0-85130566986,2-s2.0-85130547092,undirected,14
2-s2.0-85130566986,2-s2.0-85130559393,undirected,9
2-s2.0-85130566986,2-s2.0-85118628104,undirected,7
2-s2.0-85130566986,2-s2.0-43949128428,undirected,7
2-s2.0-85130547092,2-s2.0-85130559393,undirected,8
2-s2.0-85130547092,2-s2.0-85118628104,undirected,6
2-s2.0-85130547092,2-s2.0-43949128428,undirected,6
2-s2.0-85135228668,2-s2.0-85106399168,undirected,7
2-s2.0-85123366435,2-s2.0-85078835671,undirected,6
2-s2.0-85118628104,2-s2.0-43949128428,undirected,10
2-s2.0-85107976976,2-s2.0-85015358574,undirected,6
2-s2.0-85106399168,2-s2.0-85102780630,undirected,9
2-s2.0-85106399168,2-s2.0-85095746398,undirected,11
2-s2.0-85106399168,2-s2.0-85067622801,undirected,6
2-s2.0-85159298730,2-s2.0-85134024351,undirected,6
2-s2.0-85134024351,2-s2.0-85141660632,undirected,8
2-s2.0-85134024351,2-s2.0-85107772096,undirected,13
2-s2.0-85102780630,2-s2.0-85095746398,undirected,7
2-s2.0-85102780630,2-s2.0-85067622801,undirected,6
2-s2.0-85111964963,2-s2.0-85068460153,undirected,7
2-s2.0-85107464809,2-s2.0-85068460153,undirected,6
2-s2.0-85103744152,2-s2.0-84977657335,undirected,6
2-s2.0-85092199459,2-s2.0-85061377945,undirected,9
2-s2.0-85090254386,2-s2.0-85090259984,undirected,6
2-s2.0-85090254386,2-s2.0-85068460153,undirected,24
2-s2.0-85090254386,2-s2.0-85075709898,undirected,12
2-s2.0-85090254386,2-s2.0-85064463641,undirected,7
2-s2.0-85089468020,2-s2.0-85107772096,undirected,6
2-s2.0-85091302319,2-s2.0-85074950996,undirected,7
2-s2.0-85107772096,2-s2.0-84893070216,undirected,12
2-s2.0-85079349505,2-s2.0-84962916557,undirected,7
2-s2.0-85079349505,2-s2.0-0027170085,undirected,6
2-s2.0-85083115066,2-s2.0-85015054154,undirected,6
2-s2.0-85090259984,2-s2.0-85068460153,undirected,7
2-s2.0-85091586097,2-s2.0-85040451616,undirected,7
2-s2.0-85078835671,2-s2.0-84973514484,undirected,7
2-s2.0-85078835671,2-s2.0-20344384538,undirected,7
2-s2.0-85077797740,2-s2.0-85067599304,undirected,10
2-s2.0-85077797740,2-s2.0-85061377945,undirected,8
2-s2.0-85077797740,2-s2.0-85044860190,undirected,6
2-s2.0-85077797740,2-s2.0-85015054154,undirected,8
2-s2.0-85077797740,2-s2.0-84988378007,undirected,7
2-s2.0-85077797740,2-s2.0-84954098724,undirected,13
2-s2.0-85077797740,2-s2.0-84982921020,undirected,7
2-s2.0-85077797740,2-s2.0-84924626271,undirected,6
2-s2.0-85077797740,2-s2.0-84950991167,undirected,13
2-s2.0-85077797740,2-s2.0-84922879577,undirected,7
2-s2.0-85070232917,2-s2.0-84956798528,undirected,7
