Source,Target,Type,weight
2-s2.0-85209650026,2-s2.0-85210986733,undirected,10
2-s2.0-85209650026,2-s2.0-85171497679,undirected,10
2-s2.0-85210755595,2-s2.0-85178259399,undirected,13
2-s2.0-85210755595,2-s2.0-85103744152,undirected,12
2-s2.0-85185224579,2-s2.0-85205374316,undirected,30
2-s2.0-85185224579,2-s2.0-85194863863,undirected,25
2-s2.0-85185224579,2-s2.0-85133801459,undirected,14
2-s2.0-85185224579,2-s2.0-85096625254,undirected,10
2-s2.0-85185224579,2-s2.0-85067599304,undirected,20
2-s2.0-85185224579,2-s2.0-84950991167,undirected,10
2-s2.0-85197756893,2-s2.0-85185956999,undirected,10
2-s2.0-85197756893,2-s2.0-85061377945,undirected,10
2-s2.0-85204988498,2-s2.0-85205015126,undirected,15
2-s2.0-85204988498,2-s2.0-85061377945,undirected,10
2-s2.0-85205013062,2-s2.0-85164032130,undirected,12
2-s2.0-85205015126,2-s2.0-85203448740,undirected,11
2-s2.0-85205015126,2-s2.0-85133801459,undirected,12
2-s2.0-85205015126,2-s2.0-85125858877,undirected,12
2-s2.0-85205015126,2-s2.0-85123366435,undirected,20
2-s2.0-85205015126,2-s2.0-85061377945,undirected,14
2-s2.0-85205374316,2-s2.0-85194863863,undirected,30
2-s2.0-85205374316,2-s2.0-85133801459,undirected,10
2-s2.0-85205374316,2-s2.0-85162255025,undirected,11
2-s2.0-85205374316,2-s2.0-85067599304,undirected,17
2-s2.0-85204394629,2-s2.0-85174569197,undirected,22
2-s2.0-85204394629,2-s2.0-85139862524,undirected,16
2-s2.0-85204350111,2-s2.0-85195487913,undirected,17
2-s2.0-85204350111,2-s2.0-85183027675,undirected,11
2-s2.0-85204350111,2-s2.0-85147680345,undirected,16
2-s2.0-85192678577,2-s2.0-85175543792,undirected,10
2-s2.0-85192678577,2-s2.0-85139816674,undirected,10
2-s2.0-85192678577,2-s2.0-85140205972,undirected,21
2-s2.0-85192678577,2-s2.0-85056775974,undirected,14
2-s2.0-85192678577,2-s2.0-84893070216,undirected,11
2-s2.0-85202587426,2-s2.0-85049396114,undirected,11
2-s2.0-85191754890,2-s2.0-85194873985,undirected,10
2-s2.0-85191754890,2-s2.0-85092395604,undirected,13
2-s2.0-85191754890,2-s2.0-85018616426,undirected,12
2-s2.0-85195487913,2-s2.0-85191992877,undirected,21
2-s2.0-85195487913,2-s2.0-85183851360,undirected,11
2-s2.0-85195487913,2-s2.0-85169160278,undirected,10
2-s2.0-85195487913,2-s2.0-85168491397,undirected,19
2-s2.0-85195487913,2-s2.0-85132253592,undirected,14
2-s2.0-85195487913,2-s2.0-85117880937,undirected,14
2-s2.0-85195487913,2-s2.0-85117940396,undirected,17
2-s2.0-85195487913,2-s2.0-85071458064,undirected,10
2-s2.0-85195487913,2-s2.0-85076766294,undirected,11
2-s2.0-85194863863,2-s2.0-85077797740,undirected,10
2-s2.0-85194863863,2-s2.0-85067599304,undirected,23
2-s2.0-85194863863,2-s2.0-84950991167,undirected,16
2-s2.0-85194881984,2-s2.0-85183851360,undirected,10
2-s2.0-85188627991,2-s2.0-85181568409,undirected,10
2-s2.0-85194918818,2-s2.0-85143594540,undirected,13
2-s2.0-85212298115,2-s2.0-85138224307,undirected,19
2-s2.0-85197083675,2-s2.0-85061377945,undirected,10
2-s2.0-85135688152,2-s2.0-85167820384,undirected,13
2-s2.0-85135688152,2-s2.0-85059942103,undirected,10
2-s2.0-85135688152,2-s2.0-85063009490,undirected,13
2-s2.0-85136534267,2-s2.0-85141915705,undirected,11
2-s2.0-85143594540,2-s2.0-85052300537,undirected,11
2-s2.0-85143594540,2-s2.0-84884412751,undirected,13
2-s2.0-85197266007,2-s2.0-85205277024,undirected,10
2-s2.0-85197266007,2-s2.0-85133801459,undirected,14
2-s2.0-85197266007,2-s2.0-85173418650,undirected,14
2-s2.0-85197266007,2-s2.0-85125348630,undirected,11
2-s2.0-85197266007,2-s2.0-85129250980,undirected,13
2-s2.0-85197266007,2-s2.0-85079761986,undirected,13
2-s2.0-85197266007,2-s2.0-85081914306,undirected,11
2-s2.0-85197266007,2-s2.0-85061377945,undirected,20
2-s2.0-85197266007,2-s2.0-85028362798,undirected,10
2-s2.0-85207428123,2-s2.0-85165791505,undirected,13
2-s2.0-85204390359,2-s2.0-85174729650,undirected,13
2-s2.0-85204390359,2-s2.0-85152313344,undirected,13
2-s2.0-85181568409,2-s2.0-85160016730,undirected,18
2-s2.0-85181568409,2-s2.0-85118628104,undirected,10
2-s2.0-85187390276,2-s2.0-85148440054,undirected,14
2-s2.0-85199198237,2-s2.0-85175550542,undirected,23
2-s2.0-85175550542,2-s2.0-85175554380,undirected,12
2-s2.0-85149320247,2-s2.0-85138309734,undirected,12
2-s2.0-85209997331,2-s2.0-85079143885,undirected,11
2-s2.0-85209997331,2-s2.0-85038389207,undirected,15
2-s2.0-85188660056,2-s2.0-85123831583,undirected,10
2-s2.0-85174418987,2-s2.0-85052530775,undirected,14
